경과 날짜,날짜,,누적확진자
1,20210101,,61769
2,20210102,,62593
3,20210103,,63244
4,20210104,,64264
5,20210105,,64979
6,20210106,,65818
7,20210107,,66686
8,20210108,,67358
9,20210109,,67999
10,20210110,,68664
11,20210111,,69114
12,20210112,,69651
13,20210113,,70212
14,20210114,,70728
15,20210115,,71241
16,20210116,,71820
17,20210117,,72340
18,20210118,,72729
19,20210119,,73115
20,20210120,,73518
21,20210121,,73918
22,20210122,,74262
23,20210123,,74692
24,20210124,,75084
25,20210125,,75521
26,20210126,,75875
27,20210127,,76429
28,20210128,,76926
29,20210129,,77395
30,20210201,,78508
31,20210202,,78844
32,20210203,,79311
33,20210204,,79762
34,20210205,,80131
35,20210206,,80524
36,20210207,,80896
37,20210208,,81185
38,20210209,,81487
39,20210210,,81930
40,20210211,,82434
41,20210212,,82837
42,20210213,,83199
43,20210214,,83525
44,20210215,,83869
45,20210216,,84325
46,20210217,,84946
47,20210218,,85567
48,20210219,,86128
49,20210220,,86576
50,20210221,,86992
51,20210222,,87324
52,20210223,,87681
53,20210224,,88120
54,20210225,,88516
55,20210226,,88922
56,20210227,,89321
57,20210228,,89676
58,20210301,,90029
59,20210302,,90372
60,20210303,,90816
61,20210304,,91240
62,20210305,,91638
63,20210306,,92055
64,20210307,,92471
65,20210308,,92817
66,20210309,,93263
67,20210310,,93733
68,20210311,,94198
69,20210312,,94686
70,20210313,,95176
71,20210314,,95635
72,20210315,,96017
73,20210316,,96380
74,20210317,,96849
75,20210318,,97294
76,20210319,,97757
77,20210320,,98209
78,20210321,,98665
79,20210322,,99075
80,20210323,,99421
81,20210324,,99846
82,20210325,,100276
83,20210326,,100770
84,20210327,,101275
85,20210328,,101757
86,20210329,,102141
87,20210330,,102582
88,20210331,,103088
89,20210401,,103639
90,20210402,,104194
91,20210403,,104736
92,20210404,,105279
93,20210405,,105752
94,20210406,,106230
95,20210407,,106898
96,20210408,,107598
97,20210409,,108269
98,20210410,,108945
99,20210411,,109559
100,20210412,,110146
101,20210413,,110688
102,20210414,,111419
103,20210415,,112117
104,20210416,,112789
105,20210417,,113444
106,20210418,,114115
107,20210419,,114646
108,20210420,,115195
109,20210420,,115195
110,20210421,,115926
111,20210422,,116661
112,20210423,,117458
113,20210424,,118243
114,20210427,,119898
